id,name,lat,lng
8508265,Hasle-Rüegsau,47.016022,7.655627000000001
8503414,Mellikon,47.568484000000005,8.352497
8019096,Lingenfeld,49.252584000000006,8.349523
8029763,Geroldshausen,49.686941,9.903994
8502009,Sempach-Neuenkirch,47.116053,8.195967
8029060,Plochingen,48.71308,9.410810000000001
8022653,Stadtprozelten,49.783595,9.410979
8002015,Nördlingen,48.850840999999996,10.497863
8002023,Ebermergen,48.756209999999996,10.71096
8002038,Möttingen,48.806806,10.597832
8002039,Hoppingen,48.803816999999995,10.653198
8002040,Harburg (Schwab),48.778898,10.698455000000001
8002041,Wörnitzstein,48.731977,10.714478
8002042,Donauwörth,48.714026000000004,10.771443
8002056,Mertingen Bahnhof,48.660484999999994,10.82518
8002062,Nordendorf,48.593434,10.837306
8002063,Meitingen,48.545997,10.84805
8002069,Augsburg-Oberhausen,48.380772,10.872533
8002072,Augsburg-Hochzoll,48.352977,10.943375999999999
8025454,Neunkirchen(Saar)-Wellesweiler,49.34956,7.226787
8002084,Günzburg,48.460335,10.278656
8002085,Leipheim,48.450171000000005,10.215369
8002087,Nersingen,48.430141,10.118003
8002089,Neu-Ulm,48.393039,10.004823
8002091,Wasserburg(Günz),48.438377,10.269707
8002092,Kleinkötz,48.411659,10.288497
8002093,Hochwang (D),48.389121,10.298007
8002095,Ellzee,48.34214,10.338371
8002096,Neuburg(Kammel),48.302557,10.365536
8002097,Billenhausen,48.275562,10.358162
8002098,Krumbach (Schwab),48.24759,10.358619000000001
8002099,Krumbach(Schwab)Schule,48.23542,10.361165
8002100,Offingen,48.481846000000004,10.376003
8002101,Mindelaltheim,48.455978,10.407905
8002102,Burgau (Schwab),48.424797,10.427012
8002103,Jettingen,48.399126,10.445473
8002104,Freihalden,48.384704,10.5022
8002106,Dinkelscherben,48.342638,10.586675
8002112,Kutzenhausen,48.334775,10.696338
8002113,Gessertshausen,48.333715000000005,10.732382000000001
8002114,Diedorf (Schwab),48.35609,10.776823
8002116,Westheim (Schwab),48.385991,10.818233
8002118,Neusäss,48.394391999999996,10.83352
8002140,Augsburg Hbf,48.365441,10.88557
8002142,Augsburg Haunstetterstrasse,48.355284999999995,10.900985
8002143,Kissing,48.300922,10.959553
8002144,Mering,48.262698,10.988291
8002145,Althegnenberg,48.236374,11.063003
8002146,Haspelmoor,48.223263,11.098784
8002147,Mammendorf,48.216826,11.174617999999999
8002156,Geltendorf,48.105776,11.037736
8083846,Lörrach Schwarzwaldstrasse,47.620892,7.692691
8019088,Limburgerhof,49.424273,8.390747
8002181,Buchloe,48.033722999999995,10.716217
8002188,Kaufering,48.080835,10.854595
8501304,Roche VD,46.358686,6.927049
8504133,Cugy FR,46.816024,6.889162
8002216,Türkheim (Bay) Bahnhof,48.04569,10.617439
8002218,Niederraunau,48.221344,10.374503
8002219,Aletshausen,48.201313,10.383631
8002220,Haupeltshofen,48.180467,10.382430000000001
8002221,Loppenhausen,48.162511,10.390907
8002222,Breitenbrunn(Schwab),48.138586,10.408505
8002223,Pfaffenhausen,48.117794,10.451825
8002224,Weilbach(Unterallg),48.125996,10.429623
8002227,Hausen(Schwab),48.101003999999996,10.482517
8002228,Nassenbeuren,48.078066,10.503797
8002229,Hirschfelden,48.289531,10.362264999999999
8002230,Mindelheim,48.044917,10.501626
8002233,Neu-Ulm Finninger Strasse,48.389993,10.026228
8002234,Gerlenhofen,48.351332,10.037282000000001
8002235,Senden,48.324016,10.050502
8002238,Weissenhorn,48.269558,10.1945
8002239,Vöhringen,48.279088,10.083628
8002240,Bellenberg,48.254645000000004,10.09039
8002241,Illertissen,48.222828,10.099942
8002242,Altenstadt(Iller),48.161190999999995,10.109983
8002244,Kellmünz,48.120286,10.124616
8002253,Memmingen,47.985580999999996,10.186853
8002262,Bad Grönenbach,47.882467999999996,10.253715
8002264,Dietmannsried,47.812866,10.290481
8002307,Kempten (Allgäu) Hbf,47.711745,10.31761
8002309,Kempten (Allgäu) Ost,47.731293,10.33205
8002340,Martinszell (Allgäu),47.629207,10.273777
8508317,Alpnachstad,46.955040000000004,8.277832
8002342,Immenstadt,47.559203000000004,10.213999000000001
8002343,Blaichach (Allgäu),47.543741,10.258796
8002344,Sonthofen,47.513241,10.272344
8011243,Gross Gerau-Dornberg,49.912279,8.494709
8014283,Achern,48.633990000000004,8.065324
8002362,Wullenstetten,48.314065,10.071558999999999
8002377,Altstädten(Allgäu),47.48855,10.280907000000001
8002379,Fischen,47.456590999999996,10.271717
8002380,Langenwang (Schwab),47.436588,10.276032
8002381,Oberstdorf,47.411032,10.278097
8025464,St Ingbert,49.274763,7.1108139999999995
8506046,Henggart,47.564253,8.685051
8507292,Boltigen,46.627373,7.3902470000000005
8508319,Horw,47.017478000000004,8.306969
8029583,Murrhardt,48.982757,9.57777
8014368,Himmelreich,47.958616,7.991356
8019421,Edenkoben,49.282053000000005,8.14062
8505002,Küssnacht am Rigi,47.083594,8.433494
8500206,Solothurn West,47.206709000000004,7.5319449999999994
8508308,Meiringen,46.72733,8.184234
